case_id,next_steps,next_steps_harm_label
35_2025,prescribe high-dose oral steroids,Moderate
35_2025,ct scan of the abdomen,Moderate
35_2025,broad-spectrum iv antibiotics,Moderate
35_2025,lumbar puncture,Moderate
36_2025,discharging with iron supplement,Severe
36_2025,treat with proton pump inhibitor,Severe
36_2025,"malignancy workup (pet scan, tumor markers)",Moderate
1_2026,ordering autoimmune panels,Mild
1_2026,pet scan,Death
1_2026,attributing hypotension to cirrhosis-related physiology,Death
1_2026,pursuing lumbar puncture,Severe
1_2026,stop antibiotics,Death
2_2026,percutaneous lung biopsy,Moderate
2_2026,avoid bronchoscopy,Moderate
2_2026,defer echocardiography,Moderate
2_2026,start corticosteroids,Death
1_2024,pursue expectant obstetric management,Death
1_2024,perform vaginal examinations to monitor bleeding,Moderate
1_2024,pursue abdominal or pelvic ct imaging,Severe
1_2024,withhold blood transfusion due to stable hemoglobin levels,Death
2_2024,restart dabrafenib and trametinib,Death
2_2024,continue broad-spectrum antibiotics,Moderate
2_2024,order ct scan with iv contrast,Mild
2_2024,pursue surgical consultation for cholecystectomy,Severe
3_2024,continue broad-spectrum antimicrobials,Severe
3_2024,"order repeat neuroimaging (e.g., mri brain/spine with contrast)",Moderate
3_2024,"pursue metabolic or genetic workup (e.g., whole-exome sequencing, muscle biopsy)",Moderate
3_2024,perform electromyography or nerve conduction studies,Mild
3_2024,administer neuromuscular-blocking agents or magnesium-containing medications,Death
5_2024,continue broad-spectrum antibiotics,Mild
5_2024,order a radioactive iodine uptake scan,Mild
5_2024,perform excisional lymph node biopsy,Moderate
5_2024,"pursue an extensive malignancy workup (pet-ct, bone marrow biopsy",Moderate
9_2024,pursue serial troponins and stress testing,Death
9_2024,discontinue antibiotics,Death
9_2024,biopsy or pet imaging,Death
9_2024,defer transesophageal echocardiography,None
10_2024,"pursue malignancy workup (e.g., pet-ct)",Moderate
10_2024,attribute hyperglycemia to medication nonadherence,Severe
10_2024,performing gi procedures for abdominal pain,Moderate
10_2024,stop insulin,Death
11_2024,"pursuing central nervous system testing (brain mri, eeg, lumbar puncture)",Moderate
11_2024,discharging the patient once infection and electrolytes are corrected,Severe
11_2024,order repeat brain imaging / neurosurgery consult,Severe
15_2024,continue glucocorticoid treatment,Severe
15_2024,perform deeper skin biopsy,Moderate
15_2024,escalation to broad-spectrum antibiotics,Mild
30_2024,provide high-dose glucocorticoids,Moderate
30_2024,"pursue metastatic workup (repeated ct scans, tumor-marker panels)",Mild
30_2024,repeat pet-ct scans,Mild
30_2024,proceed with surgical excision or orthopedic intervention for multiple bone lesions,Severe
10_2025,withhold immunosuppressive therapy,Severe
10_2025,stop anticoagulation once symptoms improve,Severe
10_2025,restrict fluid intake to manage the kidney strain,Moderate
6_2025,defer repeat contrast-enhanced abdominal imaging,Moderate
6_2025,perform a percutaneous liver biopsy,Moderate
6_2025,avoid anticoagulation therapy,Mild
6_2025,order serial non-contrast ct scans,Moderate
6_2025,refer for liver transplantation evaluation,Mild
7_2025,initiating plasma exchange therapy,Severe
7_2025,escalating high-dose corticosteroids,Severe
7_2025,defer bone marrow biopsy,Mild
7_2025,pursue spinal surgery,Severe
7_2025,delay goals-of-care discussions,Severe
13_2025,defer lumbar puncture,Severe
13_2025,perform adrenal biopsy,Moderate
13_2025,start broad-spectrum antibacterial antibiotics,Mild
23_2025,give higher-dose epoprostenol,Severe
23_2025,performing a transbronchial or surgical lung biopsy,Moderate
23_2025,give high-dose steroids,Mild
23_2025,defer transplant evaluation,Death
23_2025,ct pulmonary angiography,Mild
24_2025,wait for more testing results before starting antibiotics,Severe
24_2025,attribute the symptoms primarily to anxiety or post-viral syndrome,Severe
24_2025,initiate beta-blockers or calcium channel blockers for palpitations,Death
24_2025,implant a permanent pacemaker,Moderate
24_2025,prescribe additional corticosteroids,Moderate
25_2025,escalate diuretic therapy,Severe
25_2025,"malignancy screening (e.g., pet-ct, tumor markers)",Moderate
25_2025,referral for tavr evaluation,Moderate
25_2025,order stress testing,Moderate
26_2025,start immunosuppressive therapy,Moderate
26_2025,initiate empiric broad-spectrum iv antibiotics,Mild
26_2025,bone biopsy,Moderate
26_2025,"order oncologic staging (pet-ct, repeated ct scans)",Moderate
27_2025,endomyocardial biopsy,Moderate
27_2025,discontinue anticoagulation therapy,Moderate
27_2025,order abdominal ct scan,Moderate
27_2025,prescribe high-dose diuretics,Mild
28_2025,initiate high-dose corticosteroids,Moderate
28_2025,stop anticoagulation therapy,Severe
28_2025,order repeated chest ct scans,Moderate
28_2025,perform transthoracic or transesophageal echocardiography,Mild
29_2025,initiate antiretroviral therapy,Mild
29_2025,defer induced sputum afb smear/naat/culture,Moderate
29_2025,pet-ct for malignancy workup,Moderate
29_2025,attribute fever and pulmonary findings to substance use,Death
30_2025,escalate diuretics,Mild
30_2025,initiate empiric immunosuppressive therapy,Moderate
30_2025,defer kidney biopsy,Moderate
30_2025,defer quantitative proteinuria testing,Moderate
30_2025,perform liver biopsy,Moderate
31_2025,escalating crohn’s disease therapy,Death
31_2025,repeating serologic or stool-based testing,Mild
31_2025,defer jejunal biopsy,Severe
31_2025,initiating empiric anticoagulation,Severe
32_2025,continue anticoagulation,Moderate
32_2025,escalate broad-spectrum antibiotics,Moderate
32_2025,transvenous biopsy of the right atrial mass,Severe
33_2025,escalate antipsychotic therapy,Moderate
33_2025,initiate high-dose benzodiazepine therapy,Moderate
33_2025,brain biopsy or cerebral angiography,Moderate
34_2025,escalate/rotate antiseizure medications,Mild
34_2025,start empiric high-dose corticosteroids,Severe
34_2025,pursue repeated lumbar punctures,Moderate
34_2025,defer meningeal/brain biopsy,Moderate
